menu,comment,mood,level
全粒粉スコーン（オリジナル）,季節によってフレーバー変動、ドライフルーツやチョコなど（スイーツ）,本日のフレーバーはスタッフがご説明いたします,
全粒粉スコーン（プレーン）,アーモンドたっぷり、お土産にも◎（スイーツ）,☆☆☆☆,
本日のシフォンケーキ,ボリュームしっかり、季節で変わるフレーバー（スイーツ）,☆☆☆☆,
Veganマフィン,米粉・動物性不使用、体に優しいマフィン（スイーツ）,レアアイテムです、出会えたら嬉しいですね,
月桃茶（ゲットウチャ）,爽やかな香り、ポリフェノール・ミネラル豊富、カフェインフリー（アジアンティー）,☆☆☆☆,
黒豆茶,豆入り、血液サラサラ効果、カフェインフリー（アジアンティー）,☆☆☆☆,
八宝茶,薬膳たっぷりの甘めブレンド（アジアンティー）,☆☆☆☆,
文山包種,台湾緑茶、どんな料理とも相性良し（アジアンティー）,☆☆☆☆,
ジャスミンティー,花の香り、気分を豊かにする中国茶（アジアンティー）,癒し系ドリンク　ホッとしたひと時を,
生姜ほうじ玄米茶,冷え性対策、香ばしい風味（アジアンティー）,☆☆☆☆,
リトルフォレスト,レモングラスとリンデンの爽やかブレンド（ハーブティー）,☆☆☆☆,
①リストの１列目。。。。。。。。。。。。。。。。。,②リストの２列目。。。。。。。。。。。。。。。。、３列目。。。。。。。。。。。。。。。。。。。,☆,
